,,,,,,,,,,
CMS,,,,,,,,,,
Weekly NADAC Reference File as of 12/09/2015,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date"
12-HR DECONGEST 120 MG CAPLET,00113005452,0.36472,42326.0,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005452,0.36472,42326.0,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005460,0.36472,42326.0,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,37205044652,0.36472,42326.0,EA,C/I,Y,1,G,,
8 HOUR ER 650 MG CAPLET,46122006271,0.05932,42326.0,EA,C/I,Y,1,G,,
8 HOUR ER 650 MG CAPLET,46122006278,0.05932,42326.0,EA,C/I,Y,1,G,,
ABACAVIR 300 MG TABLET,00378410591,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,31722055760,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,51079020401,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,51079020406,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,60505358306,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,65862007360,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,68084002111,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,68084002121,3.09071,42326.0,EA,C/I,N,1,G,,
ABACAVIR-LAMIVUDINE-ZIDOV TAB,68180028607,21.98452,42298.0,EA,C/I,N,4,G,,
ABILIFY 1 MG/ML SOLUTION,59148001315,6.32127,42005.0,ML,C/I,N,"4, 5",B,,
ABILIFY 10 MG TABLET,59148000813,28.8292,42298.0,EA,C/I,N,2,B,12.19449,42326.0
ABILIFY 10 MG TABLET,59148000835,28.8292,42298.0,EA,C/I,N,2,B,12.19449,42326.0
ABILIFY 15 MG TABLET,59148000913,28.91397,42298.0,EA,C/I,N,2,B,12.63824,42326.0
ABILIFY 15 MG TABLET,59148000935,28.91397,42298.0,EA,C/I,N,2,B,12.63824,42326.0
ABILIFY 2 MG TABLET,59148000613,28.72033,42116.0,EA,C/I,N,2,B,12.47821,42326.0
ABILIFY 20 MG TABLET,59148001013,40.73136,42298.0,EA,C/I,N,2,B,17.60732,42326.0
ABILIFY 20 MG TABLET,59148001035,40.73136,42298.0,EA,C/I,N,2,B,17.60732,42326.0
ABILIFY 30 MG TABLET,59148001113,40.51373,42298.0,EA,C/I,N,2,B,17.43322,42326.0
ABILIFY 30 MG TABLET,59148001135,40.51373,42298.0,EA,C/I,N,2,B,17.43322,42326.0
ABILIFY 5 MG TABLET,59148000713,28.90197,42298.0,EA,C/I,N,2,B,12.84145,42326.0
ABILIFY 5 MG TABLET,59148000735,28.90197,42298.0,EA,C/I,N,2,B,12.84145,42326.0
