DRAFT,,,,,,,
CMS,,,,,,,
NADAC Reference File as of 02/07/2013,,,,,,,
NDC Description,NDC,"NADAC
Per Unit",Pharmacy Type Indicator,OTC,Date,Explanation Code,Update
12-HR DECONGEST 120 MG CAPLET,00113005452,0.31045,C/I,Y,41291.0,1.0,N
12-HR DECONGEST 120 MG CAPLET,36800005452,0.31045,C/I,Y,41291.0,1.0,N
12-HR DECONGEST 120 MG CAPLET,36800005460,0.31045,C/I,Y,41291.0,1.0,N
12-HR DECONGEST 120 MG CAPLET,37205044652,0.31045,C/I,Y,41291.0,1.0,N
12.5CPD-100GFN-30PSE LIQUID,66870022316,0.09665,C/I,Y,41291.0,"4, 5",N
12.5CPD-1DCPM-30PSE LIQUID,66870022016,0.0979,C/I,Y,41291.0,"4, 5",N
4 WAY 1% NASAL SPRAY,00067208601,0.13078,C/I,Y,41291.0,"4, 5",N
4 WAY 1% NASAL SPRAY,00067208605,0.21513,C/I,Y,41291.0,"4, 5",N
4 WAY 1% NASAL SPRAY,00067208701,0.13078,C/I,Y,41291.0,"4, 5",N
4 WAY 1% NASAL SPRAY,00067208705,0.21513,C/I,Y,41291.0,"4, 5",N
8 HOUR ER 650 MG CAPLET,46122006271,0.06323,C/I,Y,41291.0,1.0,N
8 HOUR ER 650 MG CAPLET,46122006278,0.06323,C/I,Y,41291.0,1.0,N
A + D FIRST AID OINTMENT,11523720401,0.04903,C/I,Y,41291.0,"2, 5, 6",N
A + D OINTMENT,11523009601,0.04903,C/I,Y,41291.0,"2, 5, 6",N
A + D OINTMENT,11523009602,0.02967,C/I,Y,41291.0,"2, 5, 6",N
A+D ZINC OXIDE CREAM,11523131401,0.04875,C/I,Y,41291.0,"1, 5, 6",N
A+D ZINC OXIDE CREAM,11523131402,0.03009,C/I,Y,41291.0,"4, 5, 6",N
ABACAVIR 300 MG TABLET,00378410591,7.06983,C/I,N,41291.0,1.0,N
ABACAVIR 300 MG TABLET,51079020401,7.06983,C/I,N,41291.0,1.0,N
ABACAVIR 300 MG TABLET,51079020406,7.06983,C/I,N,41291.0,1.0,N
ABILIFY 1 MG/ML SOLUTION,59148001315,4.5565,C/I,N,41291.0,"2, 5",N
ABILIFY 10 MG TABLET,59148000813,20.61437,C/I,N,41291.0,2.0,N
ABILIFY 10 MG TABLET,59148000835,20.61437,C/I,N,41291.0,2.0,N
ABILIFY 15 MG TABLET,59148000913,20.55388,C/I,N,41291.0,2.0,N
ABILIFY 15 MG TABLET,59148000935,20.55388,C/I,N,41291.0,2.0,N
ABILIFY 2 MG TABLET,59148000613,20.60418,C/I,N,41291.0,2.0,N
ABILIFY 20 MG TABLET,59148001013,28.96351,C/I,N,41291.0,2.0,N
ABILIFY 20 MG TABLET,59148001035,28.96351,C/I,N,41291.0,2.0,N
ABILIFY 30 MG TABLET,59148001113,29.0083,C/I,N,41291.0,2.0,N
ABILIFY 30 MG TABLET,59148001135,29.0083,C/I,N,41291.0,2.0,N
ABILIFY 5 MG TABLET,59148000713,20.55917,C/I,N,41291.0,2.0,N
ABILIFY 5 MG TABLET,59148000735,20.55917,C/I,N,41291.0,2.0,N
ABREVA 10% CREAM,00135020001,6.91629,C/I,Y,41291.0,"2, 5",N
ABREVA 10% CREAM,00135020003,6.91629,C/I,Y,41291.0,"2, 5",N
ACANYA GEL PUMP,13548013250,5.41885,C/I,N,41278.0,"3, 5",N
ACARBOSE 100 MG TABLET,16252052501,0.49125,C/I,N,41291.0,1.0,N
ACARBOSE 100 MG TABLET,23155014901,0.49125,C/I,N,41291.0,"1, 6",N
ACARBOSE 100 MG TABLET,00115115201,0.49125,C/I,N,41291.0,1.0,N
ACARBOSE 100 MG TABLET,00115115202,0.49125,C/I,N,41291.0,1.0,N
ACARBOSE 100 MG TABLET,00054014225,0.49125,C/I,N,41291.0,1.0,N
ACARBOSE 100 MG TABLET,00378282210,0.49125,C/I,N,41291.0,1.0,N
ACARBOSE 100 MG TABLET,00378282277,0.49125,C/I,N,41291.0,1.0,N
ACARBOSE 25 MG TABLET,23155014701,0.38532,C/I,N,41291.0,"1, 6",N
ACARBOSE 25 MG TABLET,16252052301,0.38532,C/I,N,41291.0,1.0,N
ACARBOSE 25 MG TABLET,00054014025,0.38532,C/I,N,41291.0,1.0,N
ACARBOSE 25 MG TABLET,00115115001,0.38532,C/I,N,41291.0,1.0,N
ACARBOSE 25 MG TABLET,00115115002,0.38532,C/I,N,41291.0,1.0,N
ACARBOSE 25 MG TABLET,00378282010,0.38532,C/I,N,41291.0,1.0,N
ACARBOSE 25 MG TABLET,00378282077,0.38532,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,16252052401,0.42425,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,23155014801,0.42425,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,00115115101,0.42425,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,00115115102,0.42425,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,00054014120,0.42425,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,00054014125,0.42425,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,00378282110,0.42425,C/I,N,41291.0,1.0,N
ACARBOSE 50 MG TABLET,00378282177,0.42425,C/I,N,41291.0,1.0,N
ACCOLATE 20 MG TABLET,00310040260,1.86623,C/I,N,41291.0,2.0,N
ACCUNEB 0.63 MG/3 ML INH SOLN,49502069203,0.57771,C/I,N,41291.0,"4, 5",N
ACCUNEB 1.25 MG/3 ML INH SOLN,49502069303,0.59111,C/I,N,41291.0,"4, 5",N
