,,,,,,,,,,
CMS,,,,,,,,,,
Weekly NADAC Reference File as of 03/12/2014,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date"
12-HR DECONGEST 120 MG CAPLET,00113005452,0.33746,02/19/2014,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005452,0.33746,02/19/2014,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005460,0.33746,02/19/2014,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,37205044652,0.33746,02/19/2014,EA,C/I,Y,1,G,,
12.5CPD-100GFN-30PSE LIQUID,66870022316,0.09835,11/21/2013,ML,C/I,Y,"4, 5",G,,
12.5CPD-1DCPM-30PSE LIQUID,66870022016,0.09904,01/22/2014,ML,C/I,Y,"4, 5",G,,
8 HOUR ER 650 MG CAPLET,46122006271,0.06097,02/19/2014,EA,C/I,Y,1,G,,
8 HOUR ER 650 MG CAPLET,46122006278,0.06097,02/19/2014,EA,C/I,Y,1,G,,
A + D FIRST AID OINTMENT,11523720401,0.04908,01/22/2014,GM,C/I,Y,"2, 5, 6",B,,
A + D OINTMENT,11523009602,0.03038,02/21/2013,GM,C/I,Y,"2, 5, 6",B,0.02066,02/19/2014
A + D OINTMENT,11523009601,0.04908,01/22/2014,GM,C/I,Y,"2, 5, 6",B,,
A+D ZINC OXIDE CREAM,11523131402,0.03034,06/20/2013,GM,C/I,Y,"2, 5, 6",B,,
A+D ZINC OXIDE CREAM,11523131401,0.04873,04/18/2013,GM,C/I,Y,"2, 5, 6",B,,
A-MANTLE CREAM,10337090452,0.37173,03/21/2013,GM,C/I,Y,"4, 5",G,,
ABACAVIR 300 MG TABLET,00378410591,5.06545,02/19/2014,EA,C/I,N,1,G,,
