,,,,,,,,,,
CMS,,,,,,,,,,
Weekly NADAC Reference File as of 09/24/2014,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date"
12-HR DECONGEST 120 MG CAPLET,00113005452,0.33815,09/17/2014,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005452,0.33815,09/17/2014,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005460,0.33815,09/17/2014,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,37205044652,0.33815,09/17/2014,EA,C/I,Y,1,G,,
12.5CPD-100GFN-30PSE LIQUID,66870022316,0.09835,11/21/2013,ML,C/I,Y,"4, 5",G,,
12.5CPD-1DCPM-30PSE LIQUID,66870022016,0.09878,04/23/2014,ML,C/I,Y,"4, 5",G,,
8 HOUR ER 650 MG CAPLET,46122006271,0.06245,09/17/2014,EA,C/I,Y,1,G,,
8 HOUR ER 650 MG CAPLET,46122006278,0.06245,09/17/2014,EA,C/I,Y,1,G,,
A + D FIRST AID OINTMENT,11523720401,0.04904,08/20/2014,GM,C/I,Y,"2, 5, 6",B,,
A + D OINTMENT,11523009602,0.03025,07/23/2014,GM,C/I,Y,"2, 5, 6",B,0.01807,09/17/2014
A + D OINTMENT,11523009601,0.04904,08/20/2014,GM,C/I,Y,"2, 5, 6",B,,
A+D ZINC OXIDE CREAM,11523131402,0.02958,08/20/2014,GM,C/I,Y,"4, 5, 6",B,,
A+D ZINC OXIDE CREAM,11523131401,0.04859,06/18/2014,GM,C/I,Y,"4, 5, 6",B,,
ABACAVIR 300 MG TABLET,00378410591,4.11924,09/17/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,31722055760,4.11924,09/17/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,51079020401,4.11924,09/17/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,51079020406,4.11924,09/17/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,60505358306,4.11924,09/17/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,65862007360,4.11924,09/17/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,68084002121,4.11924,09/17/2014,EA,C/I,N,1,G,,
ABACAVIR-LAMIVUDINE-ZIDOV TAB,68180028607,22.19760,09/17/2014,EA,C/I,N,1,G,,
ABILIFY 1 MG/ML SOLUTION,59148001315,5.50154,06/18/2014,ML,C/I,N,"2, 5",B,,
ABILIFY 10 MG TABLET,59148000813,25.34765,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 10 MG TABLET,59148000835,25.34765,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 15 MG TABLET,59148000913,25.27327,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 15 MG TABLET,59148000935,25.27327,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 2 MG TABLET,59148000613,25.33511,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 20 MG TABLET,59148001013,35.61354,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 20 MG TABLET,59148001035,35.61354,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 30 MG TABLET,59148001113,35.66860,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 30 MG TABLET,59148001135,35.66860,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 5 MG TABLET,59148000713,24.99758,04/23/2014,EA,C/I,N,2,B,,
ABILIFY 5 MG TABLET,59148000735,24.99758,04/23/2014,EA,C/I,N,2,B,,
ABILIFY DISCMELT 10 MG TABLET,59148064023,30.47533,02/19/2014,EA,C/I,N,4,B,,
ABILIFY DISCMELT 15 MG TABLET,59148064123,29.85472,08/20/2014,EA,C/I,N,4,B,,
ABILIFY MAINTENA ER 300 MG VL,59148001871,1109.24957,07/01/2014,EA,C/I,N,2,B,,
ABILIFY MAINTENA ER 400 MG VL,59148001971,1499.74718,07/01/2014,EA,C/I,N,2,B,,
ABREVA 10% CREAM,00135020001,7.26025,06/18/2014,GM,C/I,Y,"2, 5",B,,
ABREVA 10% CREAM,00135020003,7.26025,06/18/2014,GM,C/I,Y,"2, 5",B,,
ABSORBASE OINTMENT,46287050716,0.01549,12/18/2013,GM,C/I,Y,"4, 5",G,,
ABSORICA 20 MG CAPSULE,10631011631,23.11890,12/27/2013,EA,C/I,N,4,B,,
ABSORICA 30 MG CAPSULE,10631011731,24.69281,12/27/2013,EA,C/I,N,2,B,,
ABSORICA 40 MG CAPSULE,10631011831,24.81363,12/27/2013,EA,C/I,N,2,B,,
ACAMPROSATE CALC DR 333 MG TAB,00258400060,0.84334,09/17/2014,EA,C/I,N,"1, 6",G,,
