DRAFT,,,,,,,,
CMS,,,,,,,,
NADAC Reference File as of 03/21/2013,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting"
12-HR DECONGEST 120 MG CAPLET,00113005452,0.32284,41354.0,EA,C/I,Y,1,G
12-HR DECONGEST 120 MG CAPLET,36800005452,0.32284,41354.0,EA,C/I,Y,1,G
12-HR DECONGEST 120 MG CAPLET,36800005460,0.32284,41354.0,EA,C/I,Y,1,G
12-HR DECONGEST 120 MG CAPLET,37205044652,0.32284,41354.0,EA,C/I,Y,1,G
12.5CPD-100GFN-30PSE LIQUID,66870022316,0.09789,41354.0,ML,C/I,Y,"1, 5",G
12.5CPD-1DCPM-30PSE LIQUID,66870022016,0.09738,41354.0,ML,C/I,Y,"1, 5",G
4 WAY 1% NASAL SPRAY,00067208601,0.08457,41354.0,ML,C/I,Y,"1, 5",G
4 WAY 1% NASAL SPRAY,00067208605,0.21513,41326.0,ML,C/I,Y,"4, 5",G
4 WAY 1% NASAL SPRAY,00067208701,0.08457,41354.0,ML,C/I,Y,"1, 5",G
4 WAY 1% NASAL SPRAY,00067208705,0.21513,41326.0,ML,C/I,Y,"4, 5",G
8 HOUR ER 650 MG CAPLET,46122006271,0.06341,41354.0,EA,C/I,Y,1,G
8 HOUR ER 650 MG CAPLET,46122006278,0.06341,41354.0,EA,C/I,Y,1,G
A + D FIRST AID OINTMENT,11523720401,0.04903,41326.0,GM,C/I,Y,"2, 5, 6",B
A + D OINTMENT,11523009601,0.04903,41326.0,GM,C/I,Y,"2, 5, 6",B
A + D OINTMENT,11523009602,0.03038,41326.0,GM,C/I,Y,"2, 5, 6",B
A+D ZINC OXIDE CREAM,11523131401,0.05012,41326.0,GM,C/I,Y,"2, 5, 6",B
A+D ZINC OXIDE CREAM,11523131402,0.03102,41326.0,GM,C/I,Y,"2, 5, 6",B
A-MANTLE CREAM,10337090452,0.37173,41354.0,GM,C/I,Y,"1, 5",G
ABACAVIR 300 MG TABLET,00378410591,6.99526,41354.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,60505358306,6.99526,41354.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,65862007360,6.99526,41354.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,51079020401,6.99526,41354.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,51079020406,6.99526,41354.0,EA,C/I,N,1,G
ABILIFY 1 MG/ML SOLUTION,59148001315,4.46436,41326.0,ML,C/I,N,"2, 5",B
ABILIFY 10 MG TABLET,59148000813,20.61437,41326.0,EA,C/I,N,2,B
ABILIFY 10 MG TABLET,59148000835,20.61437,41326.0,EA,C/I,N,2,B
ABILIFY 15 MG TABLET,59148000913,20.55388,41326.0,EA,C/I,N,2,B
ABILIFY 15 MG TABLET,59148000935,20.55388,41326.0,EA,C/I,N,2,B
ABILIFY 2 MG TABLET,59148000613,20.60418,41326.0,EA,C/I,N,2,B
ABILIFY 20 MG TABLET,59148001013,28.96351,41326.0,EA,C/I,N,2,B
ABILIFY 20 MG TABLET,59148001035,28.96351,41326.0,EA,C/I,N,2,B
ABILIFY 30 MG TABLET,59148001113,29.0083,41326.0,EA,C/I,N,2,B
ABILIFY 30 MG TABLET,59148001135,29.0083,41326.0,EA,C/I,N,2,B
ABILIFY 5 MG TABLET,59148000713,20.7525,41354.0,EA,C/I,N,1,B
ABILIFY 5 MG TABLET,59148000735,20.7525,41354.0,EA,C/I,N,1,B
ABREVA 10% CREAM,00135020001,6.6994,41354.0,GM,C/I,Y,"1, 5",B
ABREVA 10% CREAM,00135020003,6.6994,41354.0,GM,C/I,Y,"1, 5",B
ABSORICA 40 MG CAPSULE,10631011831,23.20747,41354.0,EA,C/I,N,1,B
ACANYA GEL PUMP,13548013250,5.41885,41326.0,GM,C/I,N,"2, 5",B
ACARBOSE 100 MG TABLET,00378282210,0.47714,41354.0,EA,C/I,N,1,G
ACARBOSE 100 MG TABLET,00378282277,0.47714,41354.0,EA,C/I,N,1,G
ACARBOSE 100 MG TABLET,00115115201,0.47714,41354.0,EA,C/I,N,1,G
ACARBOSE 100 MG TABLET,00115115202,0.47714,41354.0,EA,C/I,N,1,G
ACARBOSE 100 MG TABLET,00054014225,0.47714,41354.0,EA,C/I,N,1,G
ACARBOSE 100 MG TABLET,16252052501,0.47714,41354.0,EA,C/I,N,1,G
ACARBOSE 100 MG TABLET,23155014901,0.47714,41354.0,EA,C/I,N,1,G
ACARBOSE 25 MG TABLET,00378282010,0.39179,41354.0,EA,C/I,N,1,G
ACARBOSE 25 MG TABLET,00378282077,0.39179,41354.0,EA,C/I,N,1,G
ACARBOSE 25 MG TABLET,00054014025,0.39179,41354.0,EA,C/I,N,1,G
ACARBOSE 25 MG TABLET,00115115001,0.39179,41354.0,EA,C/I,N,1,G
