DRAFT,,,,,,,
CMS,,,,,,,
NADAC Reference File as of 12/27/2012,,,,,,,
NDC Description,NDC,"NADAC
Per Unit",Pharmacy Type Indicator,OTC,Date,Explanation Code,Update
A + D FIRST AID OINTMENT,11523720401,0.04903,C/I,Y,41263.0,"2, 5, 6",N
A + D OINTMENT,11523009601,0.04903,C/I,Y,41263.0,"2, 5, 6",N
A + D OINTMENT,11523009602,0.02967,C/I,Y,41263.0,"2, 5, 6",N
A/B OTIC EAR DROPS,00904079310,0.61062,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,24208056162,0.61062,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,42192070810,0.61062,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,42192071015,0.43063,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,43199001615,0.43063,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,64376043815,0.43063,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,66424052035,0.43063,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,76439030510,0.61062,C/I,N,41263.0,"1, 5",N
A/B OTIC EAR DROPS,76439030515,0.43063,C/I,N,41263.0,"1, 5",N
A+D ZINC OXIDE CREAM,11523131402,0.03009,C/I,Y,41263.0,"2, 5, 6",N
ABACAVIR SULFATE 300 MG TAB,00378410591,7.60195,C/I,N,41263.0,1.0,N
ABACAVIR SULFATE 300 MG TAB,51079020401,7.60195,C/I,N,41263.0,1.0,N
ABACAVIR SULFATE 300 MG TAB,51079020406,7.60195,C/I,N,41263.0,1.0,N
ABILIFY 1 MG/ML SOLN,59148001315,4.14608,C/I,N,41263.0,"2, 5",N
ABILIFY 10 MG TAB,59148000813,18.75739,C/I,N,41263.0,2.0,N
ABILIFY 10 MG TAB,59148000835,18.75739,C/I,N,41263.0,2.0,N
ABILIFY 15 MG TAB,59148000913,18.70235,C/I,N,41263.0,2.0,N
ABILIFY 15 MG TAB,59148000935,18.70235,C/I,N,41263.0,2.0,N
ABILIFY 2 MG TAB,59148000613,18.74811,C/I,N,41263.0,2.0,N
ABILIFY 20 MG TAB,59148001013,26.35467,C/I,N,41263.0,2.0,N
ABILIFY 20 MG TAB,59148001035,26.35467,C/I,N,41263.0,2.0,N
ABILIFY 30 MG TAB,59148001113,26.39542,C/I,N,41263.0,2.0,N
ABILIFY 30 MG TAB,59148001135,26.39542,C/I,N,41263.0,2.0,N
